CHAPTER		O
II		O
Mr.		PERS
Weston		PERS
was		O
a		O
native		O
of		O
Highbury		O
,		O
and		O
born		O
of		O
a		O
respectable		O
family		O
,		O
which		O
for		O
the		O
last		O
two		O
or		O
three		O
generations		O
had		O
been		O
rising		O
into		O
gentility		O
and		O
property		O
.		O
He		O
had		O
received		O
a		O
good		O
education		O
,		O
but		O
,		O
on		O
succeeding		O
early		O
in		O
life		O
to		O
a		O
small		O
independence		O
,		O
had		O
become		O
indisposed		O
for		O
any		O
of		O
the		O
more		O
homely		O
pursuits		O
in		O
which		O
his		O
brothers		O
were		O
engaged		O
,		O
and		O
had		O
satisfied		O
an		O
active		O
,		O
cheerful		O
mind		O
and		O
social		O
temper		O
by		O
entering		O
into		O
the		O
militia		O
of		O
his		O
county		O
,		O
then		O
embodied		O
.		O
Captain		PERS
Weston		PERS
was		O
a		O
general		O
favorite		O
;		O
and		O
when		O
the		O
chances		O
of		O
his		O
military		O
life		O
had		O
introduced		O
him		O
to		O
Miss		PERS
Churchill		PERS
,		O
of		O
a		O
great		O
Yorkshire		O
family		O
,		O
and		O
Miss		PERS
Churchill		PERS
fell		O
in		O
love		O
with		O
him		O
,		O
nobody		O
was		O
surprized		O
,		O
except		O
her		O
brother		O
and		O
his		O
wife		O
,		O
who		O
had		O
never		O
seen		O
him		O
,		O
and		O
who		O
were		O
full		O
of		O
pride		O
and		O
importance		O
,		O
which		O
the		O
connexion		O
would		O
offend		O
.		O
Miss		PERS
Churchill		PERS
,		O
however		O
,		O
being		O
of		O
age		O
,		O
and		O
with		O
the		O
full		O
command		O
of		O
her		O
fortune		O
--		O
though		O
her		O
fortune		O
bore		O
no		O
proportion		O
to		O
the		O
family-estate		O
--		O
was		O
not		O
to		O
be		O
dissuaded		O
from		O
the		O
marriage		O
,		O
and		O
it		O
took		O
place		O
,		O
to		O
the		O
infinite		O
mortification		O
of		O
Mr.		PERS
and		PERS
Mrs.		PERS
Churchill		PERS
,		O
who		O
threw		O
her		O
off		O
with		O
due		O
decorum		O
.		O
It		O
was		O
an		O
unsuitable		O
connexion		O
,		O
and		O
did		O
not		O
produce		O
much		O
happiness		O
.		O
Mrs.		PERS
Weston		PERS
ought		O
to		O
have		O
found		O
more		O
in		O
it		O
,		O
for		O
she		O
had		O
a		O
husband		O
whose		O
warm		O
heart		O
and		O
sweet		O
temper		O
made		O
him		O
think		O
every		O
thing		O
due		O
to		O
her		O
in		O
return		O
for		O
the		O
great		O
goodness		O
of		O
being		O
in		O
love		O
with		O
him		O
;		O
but		O
though		O
she		O
had		O
one		O
sort		O
of		O
spirit		O
,		O
she		O
had		O
not		O
the		O
best		O
.		O
She		O
had		O
resolution		O
enough		O
to		O
pursue		O
her		O
own		O
will		O
in		O
spite		O
of		O
her		O
brother		O
,		O
but		O
not		O
enough		O
to		O
refrain		O
from		O
unreasonable		O
regrets		O
at		O
that		O
brother		O
's		O
unreasonable		O
anger		O
,		O
nor		O
from		O
missing		O
the		O
luxuries		O
of		O
her		O
former		O
home		O
.		O
They		O
lived		O
beyond		O
their		O
income		O
,		O
but		O
still		O
it		O
was		O
nothing		O
in		O
comparison		O
of		O
Enscombe		O
:		O
she		O
did		O
not		O
cease		O
to		O
love		O
her		O
husband		O
,		O
but		O
she		O
wanted		O
at		O
once		O
to		O
be		O
the		O
wife		O
of		O
Captain		PERS
Weston		PERS
,		O
and		O
Miss		PERS
Churchill		PERS
of		O
Enscombe		O
.		O
Captain		PERS
Weston		PERS
,		O
who		O
had		O
been		O
considered		O
,		O
especially		O
by		O
the		O
Churchills		O
,		O
as		O
making		O
such		O
an		O
amazing		O
match		O
,		O
was		O
proved		O
to		O
have		O
much		O
the		O
worst		O
of		O
the		O
bargain		O
;		O
for		O
when		O
his		O
wife		O
died		O
,		O
after		O
a		O
three		O
years		O
'		O
marriage		O
,		O
he		O
was		O
rather		O
a		O
poorer		O
man		O
than		O
at		O
first		O
,		O
and		O
with		O
a		O
child		O
to		O
maintain		O
.		O
From		O
the		O
expense		O
of		O
the		O
child		O
,		O
however		O
,		O
he		O
was		O
soon		O
relieved		O
.		O
The		O
boy		O
had		O
,		O
with		O
the		O
additional		O
softening		O
claim		O
of		O
a		O
lingering		O
illness		O
of		O
his		O
mother		O
's		O
,		O
been		O
the		O
means		O
of		O
a		O
sort		O
of		O
reconciliation		O
;		O
and		O
Mr.		PERS
and		PERS
Mrs.		PERS
Churchill		PERS
,		O
having		O
no		O
children		O
of		O
their		O
own		O
,		O
nor		O
any		O
other		O
young		O
creature		O
of		O
equal		O
kindred		O
to		O
care		O
for		O
,		O
offered		O
to		O
take		O
the		O
whole		O
charge		O
of		O
the		O
little		O
Frank		O
soon		O
after		O
her		O
decease		O
.		O
Some		O
scruples		O
and		O
some		O
reluctance		O
the		O
widower-father		O
may		O
be		O
supposed		O
to		O
have		O
felt		O
;		O
but		O
as		O
they		O
were		O
overcome		O
by		O
other		O
considerations		O
,		O
the		O
child		O
was		O
given		O
up		O
to		O
the		O
care		O
and		O
the		O
wealth		O
of		O
the		O
Churchills		PERS
,		O
and		O
he		O
had		O
only		O
his		O
own		O
comfort		O
to		O
seek		O
,		O
and		O
his		O
own		O
situation		O
to		O
improve		O
as		O
he		O
could		O
.		O
A		O
complete		O
change		O
of		O
life		O
became		O
desirable		O
.		O
He		O
quitted		O
the		O
militia		O
and		O
engaged		O
in		O
trade		O
,		O
having		O
brothers		O
already		O
established		O
in		O
a		O
good		O
way		O
in		O
London		O
,		O
which		O
afforded		O
him		O
a		O
favourable		O
opening		O
.		O
It		O
was		O
a		O
concern		O
which		O
brought		O
just		O
employment		O
enough		O
.		O
He		O
had		O
still		O
a		O
small		O
house		O
in		O
Highbury		O
,		O
where		O
most		O
of		O
his		O
leisure		O
days		O
were		O
spent		O
;		O
and		O
between		O
useful		O
occupation		O
and		O
the		O
pleasures		O
of		O
society		O
,		O
the		O
next		O
eighteen		O
or		O
twenty		O
years		O
of		O
his		O
life		O
passed		O
cheerfully		O
away		O
.		O
He		O
had		O
,		O
by		O
that		O
time		O
,		O
realized		O
an		O
easy		O
competence		O
--		O
enough		O
to		O
secure		O
the		O
purchase		O
of		O
a		O
little		O
estate		O
adjoining		O
Highbury		O
,		O
which		O
he		O
had		O
always		O
longed		O
for		O
--		O
enough		O
to		O
marry		O
a		O
woman		O
as		O
portionless		O
even		O
as		O
Miss		PERS
Taylor		PERS
,		O
and		O
to		O
live		O
according		O
to		O
the		O
wishes		O
of		O
his		O
own		O
friendly		O
and		O
social		O
disposition		O
.		O
It		O
was		O
now		O
some		O
time		O
since		O
Miss		PERS
Taylor		PERS
had		O
begun		O
to		O
influence		O
his		O
schemes		O
;		O
but		O
as		O
it		O
was		O
not		O
the		O
tyrannic		O
influence		O
of		O
youth		O
on		O
youth		O
,		O
it		O
had		O
not		O
shaken		O
his		O
determination		O
of		O
never		O
settling		O
till		O
he		O
could		O
purchase		O
Randalls		O
,		O
and		O
the		O
sale		O
of		O
Randalls		O
was		O
long		O
looked		O
forward		O
to		O
;		O
but		O
he		O
had		O
gone		O
steadily		O
on		O
,		O
with		O
these		O
objects		O
in		O
view		O
,		O
till		O
they		O
were		O
accomplished		O
.		O
He		O
had		O
made		O
his		O
fortune		O
,		O
bought		O
his		O
house		O
,		O
and		O
obtained		O
his		O
wife		O
;		O
and		O
was		O
beginning		O
a		O
new		O
period		O
of		O
existence		O
,		O
with		O
every		O
probability		O
of		O
greater		O
happiness		O
than		O
in		O
any		O
yet		O
passed		O
through		O
.		O
He		O
had		O
never		O
been		O
an		O
unhappy		O
man		O
;		O
his		O
own		O
temper		O
had		O
secured		O
him		O
from		O
that		O
,		O
even		O
in		O
his		O
first		O
marriage		O
;		O
but		O
his		O
second		O
must		O
shew		O
him		O
how		O
delightful		O
a		O
well-judging		O
and		O
truly		O
amiable		O
woman		O
could		O
be		O
,		O
and		O
must		O
give		O
him		O
the		O
pleasantest		O
proof		O
of		O
its		O
being		O
a		O
great		O
deal		O
better		O
to		O
choose		O
than		O
to		O
be		O
chosen		O
,		O
to		O
excite		O
gratitude		O
than		O
to		O
feel		O
it		O
.		O
He		O
had		O
only		O
himself		O
to		O
please		O
in		O
his		O
choice		O
:		O
his		O
fortune		O
was		O
his		O
own		O
;		O
for		O
as		O
to		O
Frank		PERS
,		O
it		O
was		O
more		O
than		O
being		O
tacitly		O
brought		O
up		O
as		O
his		O
uncle		O
's		O
heir		O
,		O
it		O
had		O
become		O
so		O
avowed		O
an		O
adoption		O
as		O
to		O
have		O
him		O
assume		O
the		O
name		O
of		O
Churchill		PERS
on		O
coming		O
of		O
age		O
.		O
It		O
was		O
most		O
unlikely		O
,		O
therefore		O
,		O
that		O
he		O
should		O
ever		O
want		O
his		O
father		O
's		O
assistance		O
.		O
His		O
father		O
had		O
no		O
apprehension		O
of		O
it		O
.		O
The		O
aunt		O
was		O
a		O
capricious		O
woman		O
,		O
and		O
governed		O
her		O
husband		O
entirely		O
;		O
but		O
it		O
was		O
not		O
in		O
Mr.		PERS
Weston		PERS
's		O
nature		O
to		O
imagine		O
that		O
any		O
caprice		O
could		O
be		O
strong		O
enough		O
to		O
affect		O
one		O
so		O
dear		O
,		O
and		O
,		O
as		O
he		O
believed		O
,		O
so		O
deservedly		O
dear		O
.		O
He		O
saw		O
his		O
son		O
every		O
year		O
in		O
London		O
,		O
and		O
was		O
proud		O
of		O
him		O
;		O
and		O
his		O
fond		O
report		O
of		O
him		O
as		O
a		O
very		O
fine		O
young		O
man		O
had		O
made		O
Highbury		O
feel		O
a		O
sort		O
of		O
pride		O
in		O
him		O
too		O
.		O
He		O
was		O
looked		O
on		O
as		O
sufficiently		O
belonging		O
to		O
the		O
place		O
to		O
make		O
his		O
merits		O
and		O
prospects		O
a		O
kind		O
of		O
common		O
concern		O
.		O
Mr.		PERS
Frank		PERS
Churchill		PERS
was		O
one		O
of		O
the		O
boasts		O
of		O
Highbury		O
,		O
and		O
a		O
lively		O
curiosity		O
to		O
see		O
him		O
prevailed		O
,		O
though		O
the		O
compliment		O
was		O
so		O
little		O
returned		O
that		O
he		O
had		O
never		O
been		O
there		O
in		O
his		O
life		O
.		O
His		O
coming		O
to		O
visit		O
his		O
father		O
had		O
been		O
often		O
talked		O
of		O
but		O
never		O
achieved		O
.		O
Now		O
,		O
upon		O
his		O
father		O
's		O
marriage		O
,		O
it		O
was		O
very		O
generally		O
proposed		O
,		O
as		O
a		O
most		O
proper		O
attention		O
,		O
that		O
the		O
visit		O
should		O
take		O
place		O
.		O
There		O
was		O
not		O
a		O
dissentient		O
voice		O
on		O
the		O
subject		O
,		O
either		O
when		O
Mrs.		PERS
Perry		PERS
drank		O
tea		O
with		O
Mrs.		PERS
and		PERS
Miss		PERS
Bates		PERS
,		O
or		O
when		O
Mrs.		PERS
and		PERS
Miss		PERS
Bates		PERS
returned		O
the		O
visit		O
.		O
Now		O
was		O
the		O
time		O
for		O
Mr.		PERS
Frank		PERS
Churchill		PERS
to		O
come		O
among		O
them		O
;		O
and		O
the		O
hope		O
strengthened		O
when		O
it		O
was		O
understood		O
that		O
he		O
had		O
written		O
to		O
his		O
new		O
mother		O
on		O
the		O
occasion		O
.		O
For		O
a		O
few		O
days		O
,		O
every		O
morning		O
visit		O
in		O
Highbury		O
included		O
some		O
mention		O
of		O
the		O
handsome		O
letter		O
Mrs.		PERS
Weston		PERS
had		O
received		O
.		O
``		O
I		O
suppose		O
you		O
have		O
heard		O
of		O
the		O
handsome		O
letter		O
Mr.		PERS
Frank		PERS
Churchill		PERS
has		O
written		O
to		O
Mrs.		PERS
Weston		PERS
?		O
I		O
understand		O
it		O
was		O
a		O
very		O
handsome		O
letter		O
,		O
indeed		O
.		O
Mr.		PERS
Woodhouse		PERS
told		O
me		O
of		O
it		O
.		O
Mr.		PERS
Woodhouse		PERS
saw		O
the		O
letter		O
,		O
and		O
he		O
says		O
he		O
never		O
saw		O
such		O
a		O
handsome		O
letter		O
in		O
his		O
life		O
.		O
''		O
It		O
was		O
,		O
indeed		O
,		O
a		O
highly		O
prized		O
letter		O
.		O
Mrs.		PERS
Weston		PERS
had		O
,		O
of		O
course		O
,		O
formed		O
a		O
very		O
favourable		O
idea		O
of		O
the		O
young		O
man		O
;		O
and		O
such		O
a		O
pleasing		O
attention		O
was		O
an		O
irresistible		O
proof		O
of		O
his		O
great		O
good		O
sense		O
,		O
and		O
a		O
most		O
welcome		O
addition		O
to		O
every		O
source		O
and		O
every		O
expression		O
of		O
congratulation		O
which		O
her		O
marriage		O
had		O
already		O
secured		O
.		O
She		O
felt		O
herself		O
a		O
most		O
fortunate		O
woman		O
;		O
and		O
she		O
had		O
lived		O
long		O
enough		O
to		O
know		O
how		O
fortunate		O
she		O
might		O
well		O
be		O
thought		O
,		O
where		O
the		O
only		O
regret		O
was		O
for		O
a		O
partial		O
separation		O
from		O
friends		O
whose		O
friendship		O
for		O
her		O
had		O
never		O
cooled		O
,		O
and		O
who		O
could		O
ill		O
bear		O
to		O
part		O
with		O
her		O
.		O
She		O
knew		O
that		O
at		O
times		O
she		O
must		O
be		O
missed		O
;		O
and		O
could		O
not		O
think		O
,		O
without		O
pain		O
,		O
of		O
Emma		PERS
's		O
losing		O
a		O
single		O
pleasure		O
,		O
or		O
suffering		O
an		O
hour		O
's		O
ennui		O
,		O
from		O
the		O
want		O
of		O
her		O
companionableness		O
:		O
but		O
dear		O
Emma		PERS
was		O
of		O
no		O
feeble		O
character		O
;		O
she		O
was		O
more		O
equal		O
to		O
her		O
situation		O
than		O
most		O
girls		O
would		O
have		O
been		O
,		O
and		O
had		O
sense		O
,		O
and		O
energy		O
,		O
and		O
spirits		O
that		O
might		O
be		O
hoped		O
would		O
bear		O
her		O
well		O
and		O
happily		O
through		O
its		O
little		O
difficulties		O
and		O
privations		O
.		O
And		O
then		O
there		O
was		O
such		O
comfort		O
in		O
the		O
very		O
easy		O
distance		O
of		O
Randalls		O
from		O
Hartfield		O
,		O
so		O
convenient		O
for		O
even		O
solitary		O
female		O
walking		O
,		O
and		O
in		O
Mr.		PERS
Weston		PERS
's		O
disposition		O
and		O
circumstances		O
,		O
which		O
would		O
make		O
the		O
approaching		O
season		O
no		O
hindrance		O
to		O
their		O
spending		O
half		O
the		O
evenings		O
in		O
the		O
week		O
together		O
.		O
Her		O
situation		O
was		O
altogether		O
the		O
subject		O
of		O
hours		O
of		O
gratitude		O
to		O
Mrs.		PERS
Weston		PERS
,		O
and		O
of		O
moments		O
only		O
of		O
regret		O
;		O
and		O
her		O
satisfaction		O
--		O
her		O
more		O
than		O
satisfaction		O
--		O
her		O
cheerful		O
enjoyment		O
,		O
was		O
so		O
just		O
and		O
so		O
apparent		O
,		O
that		O
Emma		PERS
,		O
well		O
as		O
she		O
knew		O
her		O
father		O
,		O
was		O
sometimes		O
taken		O
by		O
surprize		O
at		O
his		O
being		O
still		O
able		O
to		O
pity		O
`		O
poor		O
Miss		PERS
Taylor		PERS
,		O
'		O
when		O
they		O
left		O
her		O
at		O
Randalls		O
in		O
the		O
center		O
of		O
every		O
domestic		O
comfort		O
,		O
or		O
saw		O
her		O
go		O
away		O
in		O
the		O
evening		O
attended		O
by		O
her		O
pleasant		O
husband		O
to		O
a		O
carriage		O
of		O
her		O
own		O
.		O
But		O
never		O
did		O
she		O
go		O
without		O
Mr.		PERS
Woodhouse		PERS
's		O
giving		O
a		O
gentle		O
sigh		O
,		O
and		O
saying		O
,		O
``		O
Ah		O
,		O
poor		O
Miss		PERS
Taylor		PERS
!		O
She		O
would		O
be		O
very		O
glad		O
to		O
stay		O
.		O
''		O
There		O
was		O
no		O
recovering		O
Miss		PERS
Taylor		PERS
--		O
nor		O
much		O
likelihood		O
of		O
ceasing		O
to		O
pity		O
her		O
;		O
but		O
a		O
few		O
weeks		O
brought		O
some		O
alleviation		O
to		O
Mr.		PERS
Woodhouse		PERS
.		O
The		O
compliments		O
of		O
his		O
neighbors		O
were		O
over		O
;		O
he		O
was		O
no		O
longer		O
teased		O
by		O
being		O
wished		O
joy		O
of		O
so		O
sorrowful		O
an		O
event		O
;		O
and		O
the		O
wedding-cake		O
,		O
which		O
had		O
been		O
a		O
great		O
distress		O
to		O
him		O
,		O
was		O
all		O
eat		O
up		O
.		O
His		O
own		O
stomach		O
could		O
bear		O
nothing		O
rich		O
,		O
and		O
he		O
could		O
never		O
believe		O
other		O
people		O
to		O
be		O
different		O
from		O
himself		O
.		O
What		O
was		O
unwholesome		O
to		O
him		O
he		O
regarded		O
as		O
unfit		O
for		O
any		O
body		O
;		O
and		O
he		O
had		O
,		O
therefore		O
,		O
earnestly		O
tried		O
to		O
dissuade		O
them		O
from		O
having		O
any		O
wedding-cake		O
at		O
all		O
,		O
and		O
when		O
that		O
proved		O
vain		O
,		O
as		O
earnestly		O
tried		O
to		O
